ts,open,high,low,close,volume
1767664800000,137.5,137.88,137.49,137.54,4828.86
1767665100000,137.6,137.79,137.28,137.3,16165.76
1767665400000,137.3,137.64,137.24,137.54,5765.03
1767665700000,137.51,137.64,137.43,137.49,1173.59
1767666000000,137.48,137.8,137.48,137.79,4358.33
1767666300000,137.79,137.95,137.64,137.64,6408.13
1767666600000,137.7,137.74,137.36,137.45,2040.91
1767666900000,137.43,137.63,137.34,137.36,1127.2
1767667200000,137.47,137.63,137.44,137.56,20299.05
1767667500000,137.55,137.6,137.37,137.6,2737.38
1767667800000,137.56,137.62,137.4,137.49,466.28
1767668100000,137.52,137.69,137.52,137.54,1631.18
1767668400000,137.59,137.69,137.49,137.69,6322.27
1767668700000,137.68,137.92,137.68,137.89,6051.73
1767669000000,137.89,137.95,137.73,137.94,8236.82
1767669300000,137.95,138.09,137.93,137.97,1255.81
1767669600000,137.95,138.06,137.62,137.67,12302.47
1767669900000,137.69,137.84,137.56,137.82,6349.77
1767670200000,137.84,138.47,137.84,138.35,6126.3
1767670500000,138.32,138.55,138.3,138.47,2942.26
1767670800000,138.47,138.47,138.21,138.23,3331.25
1767671100000,138.24,138.48,138.24,138.28,1273.88
1767671400000,138.27,138.34,138.21,138.27,947.25
1767671700000,138.27,138.32,138.16,138.31,4969.83
1767672000000,138.32,138.48,138.15,138.23,3090.71
1767672300000,138.25,138.57,138.2,138.5,1380.78
1767672600000,138.49,138.69,138.48,138.53,6318.22
1767672900000,138.59,138.81,138.59,138.72,2376.93
1767673200000,138.76,138.89,138.76,138.77,1320.44
1767673500000,138.75,138.76,138.47,138.56,4443.55
1767673800000,138.59,138.86,138.52,138.78,3593.45
1767674100000,138.79,138.94,138.71,138.72,4772.65
1767674400000,138.83,138.87,138.57,138.58,2740.3
1767674700000,138.58,138.64,138.51,138.64,284.28
1767675000000,138.64,138.65,138.44,138.48,1811.89
1767675300000,138.48,138.51,138.35,138.35,985.98
1767675600000,138.38,138.46,138.16,138.19,6702.67
1767675900000,138.2,138.31,138.04,138.1,5391.37
1767676200000,138.04,138.24,138.03,138.11,1455.48
1767676500000,138.11,138.46,138.11,138.46,5874.45
1767676800000,138.44,138.67,138.41,138.51,3955.87
1767677100000,138.5,138.61,138.27,138.6,744.77
1767677400000,138.59,139.23,138.59,138.85,8681.02
1767677700000,138.85,138.99,138.71,138.99,2872.05
1767678000000,138.97,138.97,138.68,138.8,1999.15
1767678300000,138.8,139.01,138.57,139.01,5628.59
1767678600000,138.96,139.98,138.86,139.53,15510.21
1767678900000,139.57,139.65,139.46,139.5,4850.17
1767679200000,139.53,139.7,139.23,139.5,5676.73
1767679500000,139.4,139.47,139.25,139.29,2177.33
1767679800000,139.3,139.47,139.22,139.24,19293.48
1767680100000,139.24,139.25,138.88,138.94,5312.72
1767680400000,138.93,139.04,138.79,138.96,2373.05
1767680700000,138.93,139.01,138.86,139.0,2841.62
1767681000000,139.02,139.2,138.88,139.2,4299.45
1767681300000,139.22,139.3,139.1,139.21,2346.93
1767681600000,139.21,139.51,139.13,139.46,3519.27
1767681900000,139.46,139.51,139.2,139.23,5169.64
1767682200000,139.3,139.3,138.94,139.21,1479.98
1767682500000,139.18,139.22,138.92,138.93,666.89
1767682800000,138.96,139.04,138.67,138.68,1428.6
