ts,open,high,low,close,volume
1767881400000,134.14,134.28,134.05,134.11,6212.31
1767881700000,134.13,134.13,134.0,134.02,1259.68
1767882000000,134.07,134.13,133.87,134.0,17613.25
1767882300000,134.0,134.0,133.46,133.9,46373.5
1767882600000,133.83,134.03,133.53,134.03,38785.32
1767882900000,133.96,134.1,133.59,133.69,25988.72
1767883200000,133.65,134.23,133.14,133.17,41771.33
1767883500000,133.14,133.78,132.67,133.59,151591.32
1767883800000,133.58,134.42,133.4,134.05,153414.89
1767884100000,134.06,134.13,133.75,133.97,22028.77
1767884400000,133.99,134.02,133.37,133.48,14488.12
1767884700000,133.5,134.67,133.37,134.6,86305.56
1767885000000,134.6,135.32,134.5,135.09,140729.38
1767885300000,135.09,135.42,134.97,135.08,160198.04
1767885600000,135.09,135.59,134.94,135.26,127598.56
1767885900000,135.28,135.56,135.25,135.45,14989.1
1767886200000,135.45,135.63,135.15,135.21,34504.41
1767886500000,135.21,135.21,134.79,135.17,60057.75
1767886800000,135.18,135.69,135.17,135.24,19586.95
1767887100000,135.24,135.67,135.14,135.57,7679.09
1767887400000,135.62,135.96,135.62,135.69,13538.84
1767887700000,135.7,136.55,135.67,136.5,69865.03
1767888000000,136.5,136.87,136.39,136.48,108799.09
1767888300000,136.47,137.0,136.34,136.71,117815.76
1767888600000,136.71,137.22,136.59,136.85,79191.16
1767888900000,136.85,136.86,136.47,136.47,36179.98
1767889200000,136.48,137.27,136.48,137.15,121833.55
1767889500000,137.15,137.26,136.85,136.98,41502.84
1767889800000,136.98,137.18,136.76,137.0,13631.83
1767890100000,136.98,137.01,136.49,136.6,12924.19
1767890400000,136.61,137.66,136.56,137.5,26540.58
1767890700000,137.51,137.99,137.46,137.82,18205.96
1767891000000,137.83,137.94,137.59,137.7,51934.42
1767891300000,137.71,138.27,137.7,138.23,16637.61
1767891600000,138.24,138.86,138.23,138.43,31088.68
1767891900000,138.42,138.61,138.08,138.33,16707.68
1767892200000,138.33,138.42,137.88,137.88,20731.9
1767892500000,137.89,138.08,137.76,137.8,10990.06
1767892800000,137.8,137.96,137.7,137.7,42473.25
1767893100000,137.7,137.8,137.39,137.49,56665.45
1767893400000,137.49,137.9,137.49,137.82,4029.45
1767893700000,137.87,138.05,137.83,138.05,12004.91
1767894000000,138.06,138.19,137.96,138.06,11342.63
1767894300000,137.98,138.35,137.98,138.16,7472.24
1767894600000,138.16,138.54,138.16,138.51,11626.95
1767894900000,138.54,138.91,138.51,138.79,10270.48
